  PID TTY      STAT   TIME COMMAND
 3859 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 3861 tty2     Sl+    6:14 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1001/gdm/Xauthority -background none -noreset -keeptty -verbose 3
 3868 ?        Ss     0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 3871 tty2     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 3967 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 3970 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 3975 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1001/gvfs -f -o big_writes
 3986 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 3991 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 3993 ?        Sl     0:07 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 4009 tty2     Sl+    8:11 /usr/bin/gnome-shell
 4019 ?        S<l    0:02 /usr/bin/pulseaudio --start --log-target=syslog
 4035 tty2     Sl     0:55 ibus-daemon --xim --panel disable
 4036 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
 4043 tty2     Sl     0:00 /usr/lib/ibus/ibus-dconf
 4045 tty2     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 4047 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 4059 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 4077 ?        Ssl    0:01 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 4081 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 4085 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 4092 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 4096 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 4106 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 4111 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 4116 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 4120 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 4122 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 4125 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 4126 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 4127 tty2     Sl+    0:04 /usr/lib/gnome-settings-daemon/gsd-sharing
 4132 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 4135 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 4137 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 4145 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 4156 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 4157 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 4160 tty2     Sl+    0:04 /usr/lib/gnome-settings-daemon/gsd-color
 4171 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 4172 tty2     Sl+    0:02 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 4173 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 4174 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 4178 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 4226 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 4259 tty2     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 4282 tty2     Sl+    0:02 nautilus-desktop
 4292 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 4295 tty2     Sl     0:18 /usr/lib/ibus/ibus-engine-simple
 4303 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
 4323 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx4292x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/4292/2
 4337 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 4339 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 4354 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx4339x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/4339/2
 4369 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 4433 tty2     Sl+    0:01 update-notifier
 4436 tty2     SLl+   0:05 /usr/bin/gnome-software --gapplication-service
 4458 ?        Ssl    0:01 /usr/lib/fwupd/fwupd
 4603 tty2     Sl+    0:00 /usr/lib/deja-dup/deja-dup-monitor
 4651 tty2     Sl+   13:31 /usr/lib/firefox/firefox -new-window
 4725 tty2     Sl+   15:55 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 208216 -parentBuildID 20200107212822 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 4651 true tab
 4819 tty2     Sl+    0:13 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 6202 -prefMapSize 208216 -parentBuildID 20200107212822 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 4651 true tab
 5773 tty2     Sl+    0:29 /usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 9296 -prefMapSize 208216 -parentBuildID 20200107212822 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 4651 true tab
 7401 ?        Sl     0:00 /usr/sbin/apache2 -k start
 7402 ?        Sl     0:00 /usr/sbin/apache2 -k start
 7474 ?        Ss     0:00 /usr/sbin/cupsd -l
 7476 ?        Ssl    0:00 /usr/sbin/cups-browsed
10098 ?        S      0:00 [irq/128-mei_me]
10247 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient-wlp2s0.pid -lf /var/lib/NetworkManager/dhclient-00117c1f-fd1f-465b-9fb4-ede15543cad2-wlp2s0.lease -cf /var/lib/NetworkManager/dhclient-wlp2s0.conf wlp2s0
10617 ?        I      0:00 [kworker/1:1-mm_]
11018 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.7 /org/gtk/gvfs/exec_spaw/1
11032 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.7 /org/gtk/gvfs/exec_spaw/3
11926 ?        S      0:00 /usr/bin/ssh-agent -D -a /run/user/1001/keyring/.ssh
13241 ?        Ss     0:00 /usr/sbin/sshd -D
13745 ?        I      0:00 [kworker/5:1-eve]
13796 ?        I      0:00 [kworker/3:0-mem]
13802 ?        I      0:00 [kworker/7:0-eve]
14078 ?        Sl     0:02 /usr/bin/nautilus --gapplication-service
14138 ?        I      0:01 [kworker/6:2-cgr]
14353 ?        I      0:00 [kworker/5:0-cgr]
14796 ?        S      0:01 ping google.com
14804 ?        I      0:00 [kworker/7:2-eve]
14905 ?        S      0:01 ping google.com
14942 ?        S      0:01 ping google.com
15037 ?        I      0:00 [kworker/4:2-rcu]
15186 ?        S      0:00 ping dnif.it
15276 ?        Ssl    0:18 /usr/lib/gnome-terminal/gnome-terminal-server
15286 pts/4    Ss     0:00 bash
15303 ?        I      0:01 [kworker/u16:2-e]
15332 ?        Sl     0:00 gedit /home/akshay/pLs.txt
15506 pts/4    T      0:00 less pLs.txt
15634 ?        I      0:00 [kworker/1:2-eve]
15639 pts/4    T      0:00 less
15659 pts/4    T      0:00 less
15717 ?        I      0:00 [kworker/2:0-eve]
15815 ?        I      0:00 [kworker/u16:1-e]
15818 ?        I      0:00 [kworker/4:0-eve]
15838 ?        I      0:00 [kworker/0:1-rcu]
15937 ?        I      0:00 [kworker/u16:3-e]
15946 ?        I      0:00 [kworker/0:0-eve]
15950 tty2     Sl+    0:00 /usr/lib/firefox/firefox -contentproc -childID 59 -isForBrowser -prefsLen 9560 -prefMapSize 208216 -parentBuildID 20200107212822 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 4651 true tab
15998 ?        I      0:00 [kworker/2:2-eve]
16008 ?        I      0:00 [kworker/6:0-eve]
16049 ?        I      0:00 [kworker/0:2-cgr]
16069 ?        I      0:00 [kworker/3:2-mm_]
16119 ?        I      0:00 [kworker/2:1-eve]
16126 ?        I      0:00 [kworker/1:0-eve]
16161 ?        I      0:00 [kworker/1:3]
16162 ?        I      0:00 [kworker/6:1-cgr]
16163 ?        I      0:00 [kworker/6:3-eve]
16164 ?        I      0:00 [kworker/6:4-eve]
16188 ?        I      0:00 [kworker/2:3]
16189 ?        I      0:00 [kworker/0:3-eve]
16190 ?        I      0:00 [kworker/0:4-eve]
16191 ?        I      0:00 [kworker/u16:0-e]
16201 ?        I      0:00 [kworker/5:2-eve]
16202 ?        I      0:00 [kworker/5:3-eve]
16264 pts/4    R+     0:00 ps -ax
16265 pts/4    S+     0:00 tee processed.txt
16266 pts/4    S+     0:00 more
